exportName,kind,line,usageCount,paths,classification
dismissGrowthRecommendation,value,2893,2,/api/v1/growth/recommendations/{param}/dismiss,used_api_wrapper
markHandbookEntryReused,value,2900,4,/api/v1/growth/handbook/{param}/mark-reused,used_api_wrapper
updateGrowthPendingCapture,value,2907,6,/api/v1/growth/pending-captures/{param}/state,used_api_wrapper
selectCollabRepo,value,2915,4,,used_api_wrapper
getCollabRepoStatus,value,2919,2,,used_api_wrapper
previewPushToMain,value,2923,2,,used_api_wrapper
commitAndPushToMain,value,2927,2,,used_api_wrapper
previewPullFromMain,value,2931,2,,used_api_wrapper
pullSelectedFromMain,value,2935,2,,used_api_wrapper
rebuildAndInstallFromRepo,value,2939,2,,used_api_wrapper
